index,id,dataid,roomname,subtitle,roomid,title,saved,s1,s2,link
85,85,85,天外天先知殿,天外天先知殿,b7,先知殿,N,Y,Y,https://pililcr.weebly.com/tp85.html
1,1,1,先知殿,霹靂秘笈【龍氣劍】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp1.html
2,2,2,先知殿,霹靂秘笈【天問三誓】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp2.html
3,3,3,先知殿,霹靂秘笈【明聖劍法】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp3.html
4,4,4,先知殿,霹靂秘笈【天龍吼】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp4.html
5,5,5,先知殿,霹靂秘笈【蓮華聖路開天光】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp5.html
6,6,6,先知殿,霹靂秘笈【心劍】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp6.html
7,7,7,先知殿,霹靂秘笈【劍隨風行】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp7.html
8,8,8,先知殿,霹靂秘笈【零式刀法】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp8.html
9,9,9,先知殿,霹靂秘笈【萬諦一滅】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp9.html
10,10,10,先知殿,霹靂秘笈【萬引天殊劍歸宗】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp10.html
11,11,11,先知殿,霹靂秘笈【水波動蓮華】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp11.html
12,12,12,先知殿,霹靂秘笈【萬神劫】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp12.html
13,13,13,先知殿,霹靂秘笈【萬代河山滿江紅】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp13.html
14,14,14,先知殿,霹靂秘笈【紅塵輪迴】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp14.html
15,15,15,先知殿,霹靂秘笈【俠影千鋒】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp15.html
16,16,16,先知殿,霹靂秘笈【五行劍陣】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp16.html
17,17,17,先知殿,霹靂秘笈【颶狼斬,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp17.html
18,18,18,先知殿,霹靂秘笈【六翼刀法】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp18.html
19,19,19,先知殿,霹靂秘笈【燕迴旋】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp19.html
20,20,20,先知殿,霹靂秘笈【紅蓮蝕日】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp20.html
21,21,21,先知殿,霹靂秘笈【玄宗道威‧白虹貫日】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp21.html
22,22,22,先知殿,霹靂秘笈【神之渦】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp22.html
23,23,23,先知殿,霹靂秘笈【死神過境】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp23.html
24,24,24,先知殿,霹靂秘笈【殞天斬星訣】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp24.html
25,25,25,先知殿,霹靂秘笈【玄黃廢世】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp25.html
26,26,26,先知殿,霹靂秘笈【蛾龍天劫】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp26.html
27,27,27,先知殿,霹靂秘笈【刀翼斬】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp27.html
28,28,28,先知殿,霹靂秘笈【揮萬劍•式歸一•春秋一闋任琦行】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp28.html
29,29,29,先知殿,霹靂秘笈【氣雙流‧不問歲月任風歌】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp29.html
30,30,30,先知殿,霹靂秘笈【天之見證】,b7,霹靂秘笈,N,Y,Y,https://pililcr.weebly.com/tp30.html
101,32,32,,,,,N,null,null,https://pililcr.weebly.com/tp32.html
102,33,33,,,,,N,null,null,https://pililcr.weebly.com/tp33.html
103,34,34,,,,,N,null,null,https://pililcr.weebly.com/tp34.html
104,35,35,,,,,N,null,null,https://pililcr.weebly.com/tp35.html
105,36,36,,,,,N,null,null,https://pililcr.weebly.com/tp36.html
106,37,37,,,,,N,null,null,https://pililcr.weebly.com/tp37.html
107,38,38,,,,,N,null,null,https://pililcr.weebly.com/tp38.html
108,39,39,,,,,N,null,null,https://pililcr.weebly.com/tp39.html
109,40,40,,,,,N,null,null,https://pililcr.weebly.com/tp40.html
110,41,41,,,,,N,null,null,https://pililcr.weebly.com/tp41.html
111,42,42,,,,,N,null,null,https://pililcr.weebly.com/tp42.html
112,43,43,,,,,N,null,null,https://pililcr.weebly.com/tp43.html
113,44,44,,,,,N,null,null,https://pililcr.weebly.com/tp44.html
114,45,45,,,,,N,null,null,https://pililcr.weebly.com/tp45.html
115,46,46,,,,,N,null,null,https://pililcr.weebly.com/tp46.html
116,47,47,,,,,N,null,null,https://pililcr.weebly.com/tp47.html
117,48,48,,,,,N,null,null,https://pililcr.weebly.com/tp48.html
118,49,49,,,,,N,null,null,https://pililcr.weebly.com/tp49.html
119,50,50,,,,,N,null,null,https://pililcr.weebly.com/tp50.html
32,81,81,天宙之間入口牆,天宙之間,b3,天宙之間,N,Y,Y,https://pililcr.weebly.com/tp81.html
33,82,82,琉璃仙境,琉璃仙境,b1,琉璃仙境,N,Y,Y,https://pililcr.weebly.com/tp82.html
