index,id,roomname,subtitle,roomid,title,picbookid,picstartindex,piccnt,foot,saved
1,85,天外天先知殿,天外天先知殿,b7,先知殿,S,4,1,1334,N
2,1,先知殿,霹靂秘笈【龍氣劍】,b7,霹靂秘笈,C,0,1,1334,N
3,2,先知殿,霹靂秘笈【天問三誓】,b7,霹靂秘笈,C,1,1,1334,N
4,3,先知殿,霹靂秘笈【明聖劍法】,b7,霹靂秘笈,C,2,1,1334,N
5,4,先知殿,霹靂秘笈【天龍吼】,b7,霹靂秘笈,C,3,1,1334,N
6,5,先知殿,霹靂秘笈【蓮華聖路開天光】,b7,霹靂秘笈,C,4,1,1334,N
7,6,先知殿,霹靂秘笈【心劍】,b7,霹靂秘笈,C,5,1,1334,N
8,7,先知殿,霹靂秘笈【劍隨風行】,b7,霹靂秘笈,C,6,1,1334,N
9,8,先知殿,霹靂秘笈【零式刀法】,b7,霹靂秘笈,C,7,1,1334,N
10,9,先知殿,霹靂秘笈【萬諦一滅】,b7,霹靂秘笈,C,8,1,1334,N
11,10,先知殿,霹靂秘笈【萬引天殊劍歸宗】,b7,霹靂秘笈,C,9,1,1334,N
12,11,先知殿,霹靂秘笈【水波動蓮華】,b7,霹靂秘笈,C,10,1,1334,N
13,12,先知殿,霹靂秘笈【萬神劫】,b7,霹靂秘笈,C,11,1,1334,N
14,13,先知殿,霹靂秘笈【萬代河山滿江紅】,b7,霹靂秘笈,C,12,1,1334,N
15,14,先知殿,霹靂秘笈【紅塵輪迴】,b7,霹靂秘笈,C,13,1,1334,N
16,15,先知殿,霹靂秘笈【俠影千鋒】,b7,霹靂秘笈,C,14,1,1334,N
17,16,先知殿,霹靂秘笈【五行劍陣】,b7,霹靂秘笈,C,15,1,1334,N
18,17,先知殿,霹靂秘笈【颶狼斬,b7,霹靂秘笈,C,16,1,1334,N
19,18,先知殿,霹靂秘笈【六翼刀法】,b7,霹靂秘笈,C,17,1,1334,N
20,19,先知殿,霹靂秘笈【燕迴旋】,b7,霹靂秘笈,C,18,1,1334,N
21,20,先知殿,霹靂秘笈【紅蓮蝕日】,b7,霹靂秘笈,C,19,1,1334,N
22,21,先知殿,霹靂秘笈【玄宗道威‧白虹貫日】,b7,霹靂秘笈,C,20,1,1334,N
23,22,先知殿,霹靂秘笈【神之渦】,b7,霹靂秘笈,C,21,1,1334,N
24,23,先知殿,霹靂秘笈【死神過境】,b7,霹靂秘笈,C,22,1,1334,N
25,24,先知殿,霹靂秘笈【殞天斬星訣】,b7,霹靂秘笈,C,23,1,1334,N
26,25,先知殿,霹靂秘笈【玄黃廢世】,b7,霹靂秘笈,C,24,1,1334,N
27,26,先知殿,霹靂秘笈【蛾龍天劫】,b7,霹靂秘笈,C,25,1,1334,N
28,27,先知殿,霹靂秘笈【刀翼斬】,b7,霹靂秘笈,C,26,1,1334,N
29,28,先知殿,霹靂秘笈【揮萬劍•式歸一•春秋一闋任琦行】,b7,霹靂秘笈,C,27,1,1334,N
30,29,先知殿,霹靂秘笈【氣雙流‧不問歲月任風歌】,b7,霹靂秘笈,C,28,1,1334,N
31,30,先知殿,霹靂秘笈【天之見證】,b7,霹靂秘笈,C,29,1,1334,N
32,81,天宙之間,天宙之間,b3,天宙之間,S,0,1,1334,N
33,82,琉璃仙境,琉璃仙境,b1,琉璃仙境,S,1,1,1334,N
34,83,名人堂,名人堂,b9,名人堂,S,2,1,1334,N
35,84,等活地顎,等活地顎,b5,等活地顎,S,3,1,1334,N
36,86,懸空棋盤,懸空棋盤,b10,懸空棋盤,S,5,1,1334,N
37,87,天蝶盟,天蝶盟,b6,天蝶盟,S,6,1,1334,N
38,88,三十年經典,三十年經典,b4,30年經典,S,7,1,1334,N
39,89,霹靂歷史,霹靂歷史,b2,霹靂歷史,S,8,1,1334,N
40,128,總說簽名牆,總說簽名牆,b2,總說,S,39,1,1334,N
41,90,魔吞十二宮入口牆,魔吞十二宮,b11,魔吞12宮,S,9,1,1334,N
42,91,魔吞十二宮,設計師-吳日云,b11,設計師,M,19,3,,N
43,92,魔吞十二宮,設計師-甫月,b11,設計師,M,20,2,,N
44,93,魔吞十二宮,設計師-潘怡良,b11,設計師,M,21,3,,N
45,94,魔吞十二宮,設計師-康延齡,b11,設計師,M,22,2,,N
46,95,魔吞十二宮,設計師-汪俐伶,b11,設計師,M,23,2,,N
47,96,魔吞十二宮,設計師-陳科維,b11,設計師,M,24,3,,N
48,97,魔吞十二宮,設計師-簡國彥,b11,設計師,M,25,2,,N
